"player","ecr","ecrwk","fpts","fptswk","rank","rankwk"
"Adam Vinatieri",17,"ecr_01",5,"fpts_01",21,"rank_01"
"Aldrick Rosas",20,"ecr_01",5,"fpts_01",22,"rank_01"
"Austin Seibert",21,"ecr_01",1,"fpts_01",30,"rank_01"
"Brandon McManus",15,"ecr_01",10,"fpts_01",12,"rank_01"
"Brett Maher",8,"ecr_01",5,"fpts_01",23,"rank_01"
"Chris Boswell",18,"ecr_01",3,"fpts_01",29,"rank_01"
"Dan Bailey",13,"ecr_01",4,"fpts_01",26,"rank_01"
"Daniel Carlson",23,"ecr_01",6,"fpts_01",18,"rank_01"
"Dustin Hopkins",25,"ecr_01",11,"fpts_01",10,"rank_01"
"Eddy Pineiro",24,"ecr_01",3,"fpts_01",27,"rank_01"
"Greg Zuerlein",1,"ecr_01",15,"fpts_01",4,"rank_01"
"Harrison Butker",4,"ecr_01",17,"fpts_01",1,"rank_01"
"Jake Elliott",6,"ecr_01",6,"fpts_01",17,"rank_01"
"Jason Myers",9,"ecr_01",3,"fpts_01",28,"rank_01"
"Joey Slye",27,"ecr_01",12,"fpts_01",8,"rank_01"
"Josh Lambo",16,"ecr_01",8,"fpts_01",14,"rank_01"
"Justin Tucker",3,"ecr_01",11,"fpts_01",11,"rank_01"
"Ka'imi Fairbairn",10,"ecr_01",4,"fpts_01",25,"rank_01"
"Mason Crosby",12,"ecr_01",4,"fpts_01",24,"rank_01"
"Matt Bryant",14,"ecr_01",0,"fpts_01",60,"rank_01"
"Matt Gay",19,"ecr_01",5,"fpts_01",20,"rank_01"
"Matt Prater",11,"ecr_01",11,"fpts_01",9,"rank_01"
"Robbie Gould",7,"ecr_01",12,"fpts_01",7,"rank_01"
"Stephen Gostkowski",5,"ecr_01",16,"fpts_01",2,"rank_01"
"Stephen Hauschka",22,"ecr_01",6,"fpts_01",16,"rank_01"
"Wil Lutz",2,"ecr_01",15,"fpts_01",3,"rank_01"
"Austin Seibert",15,"ecr_02",13,"fpts_02",3,"rank_02"
"Brett Maher",8,"ecr_02",7,"fpts_02",17,"rank_02"
"Cairo Santos",20,"ecr_02",6,"fpts_02",18,"rank_02"
"Chris Boswell",13,"ecr_02",9,"fpts_02",7,"rank_02"
"Dan Bailey",16,"ecr_02",4,"fpts_02",23,"rank_02"
"Greg Zuerlein",4,"ecr_02",9,"fpts_02",9,"rank_02"
"Harrison Butker",1,"ecr_02",4,"fpts_02",25,"rank_02"
"Jake Elliott",7,"ecr_02",7,"fpts_02",16,"rank_02"
"Jason Myers",14,"ecr_02",4,"fpts_02",21,"rank_02"
"Joey Slye",18,"ecr_02",16,"fpts_02",1,"rank_02"
"Justin Tucker",3,"ecr_02",13,"fpts_02",4,"rank_02"
"Ka'imi Fairbairn",6,"ecr_02",7,"fpts_02",13,"rank_02"
"Mason Crosby",12,"ecr_02",3,"fpts_02",28,"rank_02"
"Matt Bryant",11,"ecr_02",8,"fpts_02",12,"rank_02"
"Matt Prater",10,"ecr_02",1,"fpts_02",30,"rank_02"
"Robbie Gould",9,"ecr_02",11,"fpts_02",6,"rank_02"
"Stephen Gostkowski",2,"ecr_02",7,"fpts_02",15,"rank_02"
"Stephen Hauschka",17,"ecr_02",4,"fpts_02",20,"rank_02"
"Wil Lutz",5,"ecr_02",12,"fpts_02",5,"rank_02"
"Aldrick Rosas",22,"ecr_03",6,"fpts_03",18,"rank_03"
"Austin Seibert",18,"ecr_03",7,"fpts_03",14,"rank_03"
"Brett Maher",2,"ecr_03",7,"fpts_03",16,"rank_03"
"Dan Bailey",11,"ecr_03",12,"fpts_03",2,"rank_03"
"Greg Zuerlein",4,"ecr_03",10,"fpts_03",6,"rank_03"
"Harrison Butker",3,"ecr_03",10,"fpts_03",7,"rank_03"
"Jake Elliott",8,"ecr_03",6,"fpts_03",17,"rank_03"
"Jason Myers",10,"ecr_03",3,"fpts_03",29,"rank_03"
"Joey Slye",12,"ecr_03",8,"fpts_03",12,"rank_03"
"Justin Tucker",5,"ecr_03",4,"fpts_03",24,"rank_03"
"Ka'imi Fairbairn",9,"ecr_03",3,"fpts_03",28,"rank_03"
"Mason Crosby",7,"ecr_03",11,"fpts_03",3,"rank_03"
"Matt Bryant",13,"ecr_03",6,"fpts_03",22,"rank_03"
"Matt Gay",14,"ecr_03",16,"fpts_03",1,"rank_03"
"Matt Prater",17,"ecr_03",9,"fpts_03",10,"rank_03"
"Robbie Gould",6,"ecr_03",6,"fpts_03",23,"rank_03"
"Stephen Gostkowski",1,"ecr_03",6,"fpts_03",21,"rank_03"
"Stephen Hauschka",16,"ecr_03",8,"fpts_03",13,"rank_03"
"Wil Lutz",19,"ecr_03",3,"fpts_03",26,"rank_03"
"Zane Gonzalez",15,"ecr_03",9,"fpts_03",9,"rank_03"
"Adam Vinatieri",13,"ecr_04",6,"fpts_04",16,"rank_04"
"Aldrick Rosas",10,"ecr_04",6,"fpts_04",18,"rank_04"
"Brett Maher",7,"ecr_04",4,"fpts_04",22,"rank_04"
"Chris Boswell",16,"ecr_04",10,"fpts_04",11,"rank_04"
"Dustin Hopkins",17,"ecr_04",3,"fpts_04",28,"rank_04"
"Greg Zuerlein",1,"ecr_04",13,"fpts_04",7,"rank_04"
"Harrison Butker",2,"ecr_04",11,"fpts_04",9,"rank_04"
"Jake Elliott",12,"ecr_04",4,"fpts_04",26,"rank_04"
"Jason Myers",5,"ecr_04",9,"fpts_04",12,"rank_04"
"Joey Slye",15,"ecr_04",13,"fpts_04",6,"rank_04"
"Josh Lambo",18,"ecr_04",15,"fpts_04",3,"rank_04"
"Justin Tucker",3,"ecr_04",6,"fpts_04",17,"rank_04"
"Ka'imi Fairbairn",4,"ecr_04",4,"fpts_04",25,"rank_04"
"Mason Crosby",6,"ecr_04",9,"fpts_04",13,"rank_04"
"Matt Bryant",8,"ecr_04",5,"fpts_04",20,"rank_04"
"Matt Gay",20,"ecr_04",15,"fpts_04",4,"rank_04"
"Matt Prater",9,"ecr_04",15,"fpts_04",2,"rank_04"
"Wil Lutz",11,"ecr_04",14,"fpts_04",5,"rank_04"
"Zane Gonzalez",14,"ecr_04",4,"fpts_04",23,"rank_04"
"Adam Vinatieri",14,"ecr_05",13,"fpts_05",4,"rank_05"
"Brett Maher",8,"ecr_05",6,"fpts_05",22,"rank_05"
"Chase McLaughlin",24,"ecr_05",8,"fpts_05",14,"rank_05"
"Dan Bailey",20,"ecr_05",16,"fpts_05",2,"rank_05"
"Eddy Pineiro",16,"ecr_05",3,"fpts_05",25,"rank_05"
"Greg Zuerlein",2,"ecr_05",12,"fpts_05",6,"rank_05"
"Harrison Butker",1,"ecr_05",7,"fpts_05",16,"rank_05"
"Jake Elliott",9,"ecr_05",7,"fpts_05",17,"rank_05"
"Jason Myers",7,"ecr_05",7,"fpts_05",18,"rank_05"
"Joey Slye",10,"ecr_05",4,"fpts_05",24,"rank_05"
"Justin Tucker",3,"ecr_05",16,"fpts_05",1,"rank_05"
"Ka'imi Fairbairn",5,"ecr_05",13,"fpts_05",5,"rank_05"
"Mason Crosby",11,"ecr_05",10,"fpts_05",9,"rank_05"
"Matt Bryant",13,"ecr_05",6,"fpts_05",21,"rank_05"
"Matt Gay",15,"ecr_05",7,"fpts_05",19,"rank_05"
"Mike Nugent",12,"ecr_05",9,"fpts_05",11,"rank_05"
"Randy Bullock",21,"ecr_05",12,"fpts_05",7,"rank_05"
"Robbie Gould",6,"ecr_05",8,"fpts_05",13,"rank_05"
"Wil Lutz",4,"ecr_05",7,"fpts_05",15,"rank_05"
"Zane Gonzalez",18,"ecr_05",14,"fpts_05",3,"rank_05"
"Adam Vinatieri",17,"ecr_08",14,"fpts_08",2,"rank_08"
"Aldrick Rosas",16,"ecr_08",2,"fpts_08",28,"rank_08"
"Brandon McManus",23,"ecr_08",7,"fpts_08",20,"rank_08"
"Chris Boswell",11,"ecr_08",11,"fpts_08",6,"rank_08"
"Dan Bailey",6,"ecr_08",16,"fpts_08",1,"rank_08"
"Eddy Pineiro",21,"ecr_08",10,"fpts_08",9,"rank_08"
"Greg Zuerlein",1,"ecr_08",6,"fpts_08",22,"rank_08"
"Harrison Butker",12,"ecr_08",6,"fpts_08",21,"rank_08"
"Jake Elliott",20,"ecr_08",5,"fpts_08",24,"rank_08"
"Jason Myers",2,"ecr_08",12,"fpts_08",4,"rank_08"
"Joey Slye",14,"ecr_08",4,"fpts_08",26,"rank_08"
"Josh Lambo",10,"ecr_08",12,"fpts_08",5,"rank_08"
"Ka'imi Fairbairn",9,"ecr_08",10,"fpts_08",8,"rank_08"
"Mason Crosby",4,"ecr_08",7,"fpts_08",17,"rank_08"
"Matt Bryant",18,"ecr_08",7,"fpts_08",19,"rank_08"
"Matt Gay",19,"ecr_08",10,"fpts_08",10,"rank_08"
"Matt Prater",3,"ecr_08",9,"fpts_08",14,"rank_08"
"Mike Nugent",7,"ecr_08",9,"fpts_08",13,"rank_08"
"Robbie Gould",8,"ecr_08",9,"fpts_08",12,"rank_08"
"Stephen Hauschka",15,"ecr_08",1,"fpts_08",30,"rank_08"
"Wil Lutz",5,"ecr_08",7,"fpts_08",16,"rank_08"
"Zane Gonzalez",13,"ecr_08",11,"fpts_08",7,"rank_08"
"Adam Vinatieri",19,"ecr_09",4,"fpts_09",25,"rank_09"
"Aldrick Rosas",22,"ecr_09",12,"fpts_09",7,"rank_09"
"Austin Seibert",20,"ecr_09",13,"fpts_09",6,"rank_09"
"Brett Maher",5,"ecr_09",15,"fpts_09",4,"rank_09"
"Chris Boswell",14,"ecr_09",16,"fpts_09",3,"rank_09"
"Dan Bailey",6,"ecr_09",5,"fpts_09",23,"rank_09"
"Eddy Pineiro",23,"ecr_09",2,"fpts_09",27,"rank_09"
"Harrison Butker",11,"ecr_09",18,"fpts_09",1,"rank_09"
"Jake Elliott",16,"ecr_09",10,"fpts_09",10,"rank_09"
