"player","ecr","ecrwk","fpts","fptswk","rank","rankwk"
"Aaron Jones",17,"ecr_01",3.9,"fpts_01",47,"rank_01"
"Alexander Mattison",60,"ecr_01",4.9,"fpts_01",41,"rank_01"
"Alvin Kamara",3,"ecr_01",16.9,"fpts_01",12,"rank_01"
"Austin Ekeler",22,"ecr_01",33.4,"fpts_01",1,"rank_01"
"Brian Hill",83,"ecr_01",0,"fpts_01",148,"rank_01"
"C.J. Anderson",44,"ecr_01",3.5,"fpts_01",52,"rank_01"
"Carlos Hyde",52,"ecr_01",8.5,"fpts_01",25,"rank_01"
"Chase Edmonds",62,"ecr_01",0.5,"fpts_01",76,"rank_01"
"Chris Carson",6,"ecr_01",18,"fpts_01",9,"rank_01"
"Chris Thompson",50,"ecr_01",7.8,"fpts_01",29,"rank_01"
"Christian McCaffrey",2,"ecr_01",32.9,"fpts_01",2,"rank_01"
"Dalvin Cook",4,"ecr_01",24,"fpts_01",5,"rank_01"
"Damien Williams",23,"ecr_01",12.5,"fpts_01",14,"rank_01"
"Dare Ogunbowale",68,"ecr_01",3.3,"fpts_01",53,"rank_01"
"Darrell Henderson",46,"ecr_01",0,"fpts_01",105,"rank_01"
"Darwin Thompson",65,"ecr_01",0.3,"fpts_01",80,"rank_01"
"David Johnson",9,"ecr_01",19.7,"fpts_01",8,"rank_01"
"David Montgomery",18,"ecr_01",4.5,"fpts_01",43,"rank_01"
"Derrick Henry",20,"ecr_01",27.9,"fpts_01",3,"rank_01"
"Derrius Guice",32,"ecr_01",3.8,"fpts_01",48,"rank_01"
"Devin Singletary",40,"ecr_01",9.8,"fpts_01",19,"rank_01"
"Devonta Freeman",19,"ecr_01",1.1,"fpts_01",68,"rank_01"
"Devontae Booker",70,"ecr_01",0,"fpts_01",254,"rank_01"
"Dion Lewis",45,"ecr_01",1.3,"fpts_01",66,"rank_01"
"Duke Johnson",27,"ecr_01",9,"fpts_01",22,"rank_01"
"Ezekiel Elliott",11,"ecr_01",12.3,"fpts_01",15,"rank_01"
"Frank Gore",42,"ecr_01",2,"fpts_01",59,"rank_01"
"Giovani Bernard",53,"ecr_01",6.3,"fpts_01",33,"rank_01"
"Gus Edwards",66,"ecr_01",5.6,"fpts_01",39,"rank_01"
