"player","ecr","ecrwk","fpts","fptswk","rank","rankwk"
"Adam Shaheen",35,"ecr_01",0.6,"fpts_01",48,"rank_01"
"Austin Hooper",12,"ecr_01",7.7,"fpts_01",11,"rank_01"
"Ben Braunecker",71,"ecr_01",0,"fpts_01",218,"rank_01"
"Cameron Brate",27,"ecr_01",0.8,"fpts_01",44,"rank_01"
"Charles Clay",33,"ecr_01",0.5,"fpts_01",49,"rank_01"
"Dallas Goedert",22,"ecr_01",1.6,"fpts_01",34,"rank_01"
"Darren Waller",15,"ecr_01",7,"fpts_01",13,"rank_01"
"David Njoku",9,"ecr_01",9.7,"fpts_01",7,"rank_01"
"Delanie Walker",10,"ecr_01",17.5,"fpts_01",3,"rank_01"
"Eric Ebron",14,"ecr_01",0.8,"fpts_01",43,"rank_01"
"Evan Engram",6,"ecr_01",17.6,"fpts_01",2,"rank_01"
"Geoff Swaim",29,"ecr_01",1.7,"fpts_01",33,"rank_01"
"George Kittle",2,"ecr_01",5.4,"fpts_01",17,"rank_01"
"Gerald Everett",23,"ecr_01",0.7,"fpts_01",47,"rank_01"
"Greg Olsen",13,"ecr_01",3.6,"fpts_01",21,"rank_01"
"Hayden Hurst",28,"ecr_01",4.1,"fpts_01",18,"rank_01"
"Hunter Henry",5,"ecr_01",6,"fpts_01",15,"rank_01"
"Ian Thomas",31,"ecr_01",0,"fpts_01",116,"rank_01"
"Jack Doyle",18,"ecr_01",2,"fpts_01",29,"rank_01"
"Jared Cook",7,"ecr_01",3.7,"fpts_01",20,"rank_01"
"Jason Witten",25,"ecr_01",7.5,"fpts_01",12,"rank_01"
"Jimmy Graham",17,"ecr_01",9,"fpts_01",8,"rank_01"
"Kyle Rudolph",16,"ecr_01",0,"fpts_01",176,"rank_01"
"Mark Andrews",11,"ecr_01",16.8,"fpts_01",4,"rank_01"
"Matt LaCosse",42,"ecr_01",0,"fpts_01",203,"rank_01"
"Mike Gesicki",26,"ecr_01",3.1,"fpts_01",24,"rank_01"
"Nick Vannett",32,"ecr_01",1.6,"fpts_01",35,"rank_01"
"Noah Fant",21,"ecr_01",2.4,"fpts_01",28,"rank_01"
"O.J. Howard",4,"ecr_01",1.2,"fpts_01",39,"rank_01"
"Ryan Griffin",40,"ecr_01",1,"fpts_01",41,"rank_01"
"T.J. Hockenson",19,"ecr_01",19.1,"fpts_01",1,"rank_01"
"Travis Kelce",1,"ecr_01",8.8,"fpts_01",9,"rank_01"
"Tyler Eifert",20,"ecr_01",2.7,"fpts_01",26,"rank_01"
"Vance McDonald",8,"ecr_01",4,"fpts_01",19,"rank_01"
"Vernon Davis",34,"ecr_01",11.9,"fpts_01",5,"rank_01"
"Will Dissly",24,"ecr_01",1.2,"fpts_01",40,"rank_01"
"Zach Ertz",3,"ecr_01",5.4,"fpts_01",16,"rank_01"
"Adam Shaheen",40,"ecr_02",2.4,"fpts_02",26,"rank_02"
"Austin Hooper",12,"ecr_02",3.4,"fpts_02",15,"rank_02"
"Ben Braunecker",67,"ecr_02",2.4,"fpts_02",25,"rank_02"
"C.J. Uzomah",27,"ecr_02",0,"fpts_02",196,"rank_02"
"Cameron Brate",26,"ecr_02",1,"fpts_02",40,"rank_02"
"Charles Clay",41,"ecr_02",0.6,"fpts_02",50,"rank_02"
"Dallas Goedert",21,"ecr_02",0,"fpts_02",116,"rank_02"
"Darren Waller",6,"ecr_02",6.3,"fpts_02",10,"rank_02"
"David Njoku",13,"ecr_02",0,"fpts_02",107,"rank_02"
"Delanie Walker",7,"ecr_02",3.9,"fpts_02",14,"rank_02"
"Eric Ebron",17,"ecr_02",8.5,"fpts_02",8,"rank_02"
"Evan Engram",4,"ecr_02",4.8,"fpts_02",13,"rank_02"
"Geoff Swaim",38,"ecr_02",1.4,"fpts_02",36,"rank_02"
"George Kittle",2,"ecr_02",5.4,"fpts_02",12,"rank_02"
"Gerald Everett",28,"ecr_02",2.1,"fpts_02",30,"rank_02"
"Greg Olsen",14,"ecr_02",11,"fpts_02",5,"rank_02"
"Hayden Hurst",31,"ecr_02",6.1,"fpts_02",11,"rank_02"
"Ian Thomas",32,"ecr_02",0,"fpts_02",118,"rank_02"
"Jack Doyle",20,"ecr_02",2.1,"fpts_02",28,"rank_02"
"James O'Shaughnessy",42,"ecr_02",2.8,"fpts_02",20,"rank_02"
"Jared Cook",10,"ecr_02",2.5,"fpts_02",23,"rank_02"
"Jason Witten",23,"ecr_02",8.5,"fpts_02",7,"rank_02"
"Jimmy Graham",15,"ecr_02",0,"fpts_02",177,"rank_02"
"Jordan Akins",34,"ecr_02",2.5,"fpts_02",21,"rank_02"
"Kyle Rudolph",19,"ecr_02",0.9,"fpts_02",42,"rank_02"
"Mark Andrews",8,"ecr_02",17.2,"fpts_02",1,"rank_02"
"Matt LaCosse",49,"ecr_02",3.3,"fpts_02",18,"rank_02"
"Mike Gesicki",24,"ecr_02",1.1,"fpts_02",38,"rank_02"
"Nick Vannett",33,"ecr_02",1.3,"fpts_02",37,"rank_02"
"Noah Fant",22,"ecr_02",3.3,"fpts_02",17,"rank_02"
"O.J. Howard",5,"ecr_02",0,"fpts_02",101,"rank_02"
"Ryan Griffin",35,"ecr_02",0,"fpts_02",219,"rank_02"
"T.J. Hockenson",9,"ecr_02",0.7,"fpts_02",46,"rank_02"
"Travis Kelce",1,"ecr_02",16.7,"fpts_02",3,"rank_02"
"Trey Burton",25,"ecr_02",0.5,"fpts_02",51,"rank_02"
"Tyler Eifert",18,"ecr_02",6.9,"fpts_02",9,"rank_02"
"Tyler Higbee",29,"ecr_02",2.1,"fpts_02",32,"rank_02"
"Vance McDonald",11,"ecr_02",15.8,"fpts_02",4,"rank_02"
"Vernon Davis",16,"ecr_02",2.9,"fpts_02",19,"rank_02"
"Zach Ertz",3,"ecr_02",9.2,"fpts_02",6,"rank_02"
"Austin Hooper",10,"ecr_03",18.6,"fpts_03",3,"rank_03"
"Blake Jarwin",27,"ecr_03",0.3,"fpts_03",53,"rank_03"
"C.J. Uzomah",32,"ecr_03",0,"fpts_03",203,"rank_03"
"Cameron Brate",25,"ecr_03",0.7,"fpts_03",48,"rank_03"
