"player","ecr","ecrwk","fpts","fptswk","rank","rankwk"
"A.J. Brown",87,"ecr_01",10,"fpts_01",34,"rank_01"
"Adam Humphries",56,"ecr_01",0.5,"fpts_01",109,"rank_01"
"Adam Thielen",10,"ecr_01",10.3,"fpts_01",28,"rank_01"
"Albert Wilson",52,"ecr_01",1.4,"fpts_01",90,"rank_01"
"Allen Robinson",21,"ecr_01",10.2,"fpts_01",30,"rank_01"
"Alshon Jeffery",23,"ecr_01",17.1,"fpts_01",13,"rank_01"
"Amari Cooper",13,"ecr_01",16.6,"fpts_01",14,"rank_01"
"Andy Isabella",91,"ecr_01",0,"fpts_01",157,"rank_01"
"Anthony Miller",49,"ecr_01",0,"fpts_01",252,"rank_01"
"Brandin Cooks",12,"ecr_01",3.9,"fpts_01",66,"rank_01"
"Breshad Perriman",84,"ecr_01",1,"fpts_01",97,"rank_01"
"Calvin Ridley",29,"ecr_01",12.4,"fpts_01",22,"rank_01"
"Chester Rogers",119,"ecr_01",0,"fpts_01",428,"rank_01"
"Chris Conley",83,"ecr_01",15.7,"fpts_01",18,"rank_01"
"Chris Godwin",14,"ecr_01",11.3,"fpts_01",25,"rank_01"
"Chris Hogan",96,"ecr_01",0,"fpts_01",376,"rank_01"
"Christian Kirk",38,"ecr_01",6.4,"fpts_01",51,"rank_01"
"Cody Latimer",100,"ecr_01",7.4,"fpts_01",47,"rank_01"
"Cole Beasley",67,"ecr_01",4,"fpts_01",64,"rank_01"
"Cooper Kupp",19,"ecr_01",4.6,"fpts_01",59,"rank_01"
"Cordarrelle Patterson",90,"ecr_01",0.1,"fpts_01",110,"rank_01"
"Corey Davis",37,"ecr_01",0,"fpts_01",201,"rank_01"
"Courtland Sutton",41,"ecr_01",12,"fpts_01",24,"rank_01"
"Curtis Samuel",33,"ecr_01",3.2,"fpts_01",72,"rank_01"
"D.J. Chark",80,"ecr_01",20.6,"fpts_01",8,"rank_01"
"D.J. Moore",25,"ecr_01",5.6,"fpts_01",55,"rank_01"
"D.K. Metcalf",57,"ecr_01",8.9,"fpts_01",40,"rank_01"
"DaeSean Hamilton",63,"ecr_01",0.5,"fpts_01",108,"rank_01"
"Danny Amendola",74,"ecr_01",16.4,"fpts_01",16,"rank_01"
"Dante Pettis",31,"ecr_01",0.7,"fpts_01",103,"rank_01"
"Davante Adams",5,"ecr_01",3.6,"fpts_01",68,"rank_01"
"DeAndre Hopkins",1,"ecr_01",23.1,"fpts_01",5,"rank_01"
"Dede Westbrook",27,"ecr_01",9.2,"fpts_01",38,"rank_01"
"Deebo Samuel",64,"ecr_01",1.7,"fpts_01",87,"rank_01"
"DeSean Jackson",40,"ecr_01",27.4,"fpts_01",3,"rank_01"
"DeVante Parker",59,"ecr_01",7.5,"fpts_01",46,"rank_01"
"Devin Funchess",62,"ecr_01",3.2,"fpts_01",71,"rank_01"
"Diontae Johnson",104,"ecr_01",2.5,"fpts_01",79,"rank_01"
"Donte Moncrief",48,"ecr_01",0.7,"fpts_01",105,"rank_01"
"Emmanuel Sanders",43,"ecr_01",14.6,"fpts_01",19,"rank_01"
"Geronimo Allison",45,"ecr_01",0,"fpts_01",443,"rank_01"
"Hunter Renfrow",85,"ecr_01",1.3,"fpts_01",92,"rank_01"
"J.J. Arcega-Whiteside",88,"ecr_01",0,"fpts_01",166,"rank_01"
"Jake Kumerow",94,"ecr_01",0,"fpts_01",421,"rank_01"
"James Washington",54,"ecr_01",5.1,"fpts_01",57,"rank_01"
"Jamison Crowder",50,"ecr_01",10.3,"fpts_01",29,"rank_01"
"Jarvis Landry",32,"ecr_01",7.7,"fpts_01",45,"rank_01"
"John Brown",44,"ecr_01",18.3,"fpts_01",10,"rank_01"
"John Ross",72,"ecr_01",27.8,"fpts_01",2,"rank_01"
"Josh Gordon",28,"ecr_01",13.3,"fpts_01",20,"rank_01"
"Josh Reynolds",95,"ecr_01",0,"fpts_01",196,"rank_01"
"JuJu Smith-Schuster",7,"ecr_01",7.8,"fpts_01",44,"rank_01"
"Julian Edelman",15,"ecr_01",10.4,"fpts_01",26,"rank_01"
"Julio Jones",6,"ecr_01",9.1,"fpts_01",39,"rank_01"
"Keelan Cole",93,"ecr_01",0,"fpts_01",184,"rank_01"
"Keenan Allen",9,"ecr_01",18.3,"fpts_01",11,"rank_01"
"KeeSean Johnson",89,"ecr_01",4.6,"fpts_01",58,"rank_01"
"Kenny Golladay",16,"ecr_01",10.2,"fpts_01",31,"rank_01"
"Kenny Stills",61,"ecr_01",9.7,"fpts_01",36,"rank_01"
"Larry Fitzgerald",39,"ecr_01",17.3,"fpts_01",12,"rank_01"
"Marqise Lee",86,"ecr_01",0,"fpts_01",447,"rank_01"
"Marquez Valdes-Scantling",47,"ecr_01",5.2,"fpts_01",56,"rank_01"
"Marquise Brown",76,"ecr_01",26.7,"fpts_01",4,"rank_01"
"Marquise Goodwin",51,"ecr_01",0.7,"fpts_01",104,"rank_01"
"Marvin Jones",26,"ecr_01",6,"fpts_01",53,"rank_01"
"Mecole Hardman",77,"ecr_01",0,"fpts_01",172,"rank_01"
"Michael Gallup",46,"ecr_01",15.8,"fpts_01",17,"rank_01"
"Michael Thomas",2,"ecr_01",12.3,"fpts_01",23,"rank_01"
"Mike Evans",4,"ecr_01",2.8,"fpts_01",78,"rank_01"
"Mike Williams",24,"ecr_01",2.9,"fpts_01",75,"rank_01"
"Miles Boykin",70,"ecr_01",6.5,"fpts_01",50,"rank_01"
"Mohamed Sanu",53,"ecr_01",5.7,"fpts_01",54,"rank_01"
"Nelson Agholor",75,"ecr_01",1.1,"fpts_01",95,"rank_01"
"Parris Campbell",79,"ecr_01",0.8,"fpts_01",102,"rank_01"
"Phillip Dorsett",78,"ecr_01",21.5,"fpts_01",6,"rank_01"
"Preston Williams",98,"ecr_01",8.4,"fpts_01",43,"rank_01"
"Randall Cobb",73,"ecr_01",12.9,"fpts_01",21,"rank_01"
"Rashard Higgins",66,"ecr_01",4.6,"fpts_01",60,"rank_01"
"Robby Anderson",34,"ecr_01",2.3,"fpts_01",81,"rank_01"
"Robert Foster",81,"ecr_01",0,"fpts_01",225,"rank_01"
"Robert Woods",17,"ecr_01",8.6,"fpts_01",41,"rank_01"
"Russell Shepard",124,"ecr_01",0,"fpts_01",370,"rank_01"
"Ryan Grant",99,"ecr_01",1.6,"fpts_01",88,"rank_01"
"Sammy Watkins",36,"ecr_01",37.8,"fpts_01",1,"rank_01"
"Stefon Diggs",18,"ecr_01",3.7,"fpts_01",67,"rank_01"
"Sterling Shepard",35,"ecr_01",4.2,"fpts_01",61,"rank_01"
"T.Y. Hilton",22,"ecr_01",20.7,"fpts_01",7,"rank_01"
"Taylor Gabriel",65,"ecr_01",2.4,"fpts_01",80,"rank_01"
"Taywan Taylor",105,"ecr_01",0,"fpts_01",200,"rank_01"
"Ted Ginn",60,"ecr_01",10.1,"fpts_01",32,"rank_01"
"Terry McLaurin",82,"ecr_01",18.5,"fpts_01",9,"rank_01"
"Travis Benjamin",92,"ecr_01",1.2,"fpts_01",94,"rank_01"
"Tre'Quan Smith",55,"ecr_01",8.6,"fpts_01",42,"rank_01"
"Trey Quinn",68,"ecr_01",9.3,"fpts_01",37,"rank_01"
"Tyler Boyd",20,"ecr_01",6.3,"fpts_01",52,"rank_01"
"Tyler Lockett",11,"ecr_01",10.4,"fpts_01",27,"rank_01"
"Tyreek Hill",8,"ecr_01",2.1,"fpts_01",84,"rank_01"
"Tyrell Williams",42,"ecr_01",16.5,"fpts_01",15,"rank_01"
"Will Fuller",30,"ecr_01",6.9,"fpts_01",49,"rank_01"
"Willie Snead",69,"ecr_01",10.1,"fpts_01",33,"rank_01"
"Zay Jones",58,"ecr_01",1.8,"fpts_01",85,"rank_01"
"A.J. Brown",53,"ecr_02",2.5,"fpts_02",77,"rank_02"
"Adam Humphries",76,"ecr_02",0,"fpts_02",378,"rank_02"
"Adam Thielen",11,"ecr_02",7.5,"fpts_02",41,"rank_02"
