"player","ecr_01","ecr_02","ecr_03","ecr_04","ecr_05","ecr_06","ecr_07","ecr_08","ecr_09","ecr_10","ecr_11","ecr_12","ecr_13","ecr_14","ecr_15","ecr_16","ecr_17"
"Arizona Cardinals","21","30","20","27","26","25","21","24","26","17","24",NA,"24","23","22","31",NA
"Atlanta Falcons","22","28","24","15","25","22","28","28",NA,"25","21","6","31","20","30","10","9"
"Baltimore Ravens","1","2","25","5","9","3","20",NA,"25","1","15","7","8","3","1","3","6"
"Buffalo Bills","10","5","5","23","5",NA,"1","7","2","4","2","2","20","24","9","9","16"
"Carolina Panthers","26","9","15","19","7","5",NA,"16","6","20","12","27","1","18","25","28",NA
"Chicago Bears","8","3","3","4","2",NA,"4","6","16","5","11","4","2","13","19","26","17"
"Cincinnati Bengals","32","19",NA,"20","15","27","23","31",NA,"26","28","26","27","26","31","20",NA
"Cleveland Browns","4","6","17","21","20","21",NA,"26","5","8","14","5","12","8","13","32",NA
"Dallas Cowboys","6","7","1","13","22","2","16",NA,"9","14","9","24","13","7","20","19","15"
"Denver Broncos","7","8","22","9","24","9","22","20","10",NA,"19","10","15","27","28","4","13"
"Detroit Lions","14","25","21","30",NA,"23","12","14","20","12","25","9","16","31","16","25",NA
"Green Bay Packers","17","10","6","11","19","8","8","11","13","13",NA,"21","6","1","8","21","3"
"Houston Texans","23","4","16","8","13","24","17","18","18",NA,"27","17","28","6","23","11","20"
"Indianapolis Colts","29","17","26","10","29",NA,"19","13","17","2","16","22","18","12","29","7","10"
"Jacksonville Jaguars","18","14","9","6","12","15","5","9","12",NA,"17","13","11","19","26","29",NA
"Kansas City Chiefs","16","13","23","17","14","20","11","23","21","10","18",NA,"17","25","6","6","5"
"Las Vegas Raiders","20","31",NA,"26","23",NA,"25","25","24","23","8","11","32","28","21","27",NA
"Los Angeles Chargers","5","11","14","1","8","4","9","17","22","16","26",NA,"10","15","18","13",NA
"Los Angeles Rams","11","23","11","2","16","10","15","5",NA,"7","3","19","14","22","15","18","7"
"Miami Dolphins","25","32",NA,"29",NA,"18","27","30","23","24","20","25","30","29","24","24",NA
"Minnesota Vikings","12","15","4","7","6","13","10","3","11","19","1",NA,"25","2","11","17","12"
"New England Patriots","15","1","2","3","1","1","3","2","3",NA,"7","8","4","11","2","1","1"
"New Orleans Saints","13","26","19","22","10","11","6","10",NA,"3","6","3","9","10","10","14","2"
"New York Giants","28","18",NA,"18","27","28","18","22","28","9",NA,"16","29","30","14","15",NA
"New York Jets","9","22","31",NA,"28","26","26","19","8","15","10","20","5","9","32","16","11"
"Philadelphia Eagles","2","20","13","25","3","12","14","15","4",NA,"23","23","3","5","5","23","14"
"Pittsburgh Steelers","30","16","27","12","21","17",NA,"1","14","11","5","1","7","4","4","2","4"
"San Francisco 49ers","19","21","7",NA,"11","14","2","4","1","6","4","12","19","16","3","5","8"
"Seattle Seahawks","3","24","10","14","17","16","13","12","7","21",NA,"18","23","21","7","8","19"
"Tampa Bay Buccaneers","27","29","12","28","18","19",NA,"21","27","18","22","28","26","17","12","22","23"
"Tennessee Titans","24","12","8","16","4","7","7","8","15","22",NA,"14","21","14","17","30","18"
"Washington Football Team","31","27","18","24","30","6","24","27","19",NA,"13","15","22","32","27","12","26"
