"player","ecr_01","ecr_02","ecr_03","ecr_04","ecr_05","ecr_06","ecr_07","ecr_08","ecr_09","ecr_10","ecr_11","ecr_12","ecr_13","ecr_14","ecr_15","ecr_16","ecr_17"
"","126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aaron Jones","17",NA,"11","17","12","8","11","8","5","5",NA,"9","7","8","9","11","4"
"Alexander Mattison","60",NA,"50","52","47","47","43","44","40","40","41",NA,"55","33",NA,"",NA
"Alfred Morris","79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alvin Kamara","3",NA,"9","4","5","7",NA,NA,NA,"9","8","3","4","9","11","9","3"
"Austin Ekeler","22",NA,"6","3","16","19","27","18","21","22","21",NA,"25","20","17","13","13"
"Brian Hill","83",NA,NA,NA,NA,NA,NA,"52",NA,"47","13","26","52","54","56","52","59"
"C.J. Anderson","44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlos Hyde","52",NA,"33","26","27","25","25","26","22",NA,"24","21","31","31","34","29","34"
"Chase Edmonds","62",NA,"68",NA,"55","39","37","14",NA,NA,NA,NA,"57","65","66",NA,NA
"Chris Carson","6",NA,"7","12","8","6","5","6","11","12",NA,"10","15","14","3","",NA
"Chris Thompson","50",NA,"42","33","40","34",NA,NA,NA,NA,NA,NA,NA,"63","51","51","40"
"Christian McCaffrey","2",NA,"2","1","3","2",NA,"2","1","1","1","2","1","2","2","1","1"
"Dalvin Cook","4",NA,"4","6","2","3","1","1","2","2","2",NA,"2","6","4",NA,NA
"Damien Harris","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Damien Williams","23",NA,NA,NA,"30","21","31","38","35","20","14",NA,NA,NA,NA,"40","20"
"Dare Ogunbowale","68",NA,"64","56","56","50",NA,"53","51","48",NA,"59","68","62","65","58","57"
"Darrell Henderson","46",NA,"71",NA,NA,"43","38","37",NA,"38","49","64",NA,"71",NA,NA,NA
"Darwin Thompson","65",NA,"40","61",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39","47",NA,NA
"David Johnson","9",NA,"8","8","4","11","7",NA,NA,"21","34",NA,"46","47","44","44","54"
"David Montgomery","18",NA,"19","23","17",NA,"26","25","23","13","25","17","21","21","20","25","25"
"Derrick Henry","20",NA,"10","7","7","12","6","12","10","8",NA,"4","5","1","1",NA,"6"
"Derrius Guice","32",NA,NA,NA,NA,NA,NA,NA,NA,NA,"40","28","36","",NA,NA,NA
"Devin Singletary","40",NA,NA,NA,NA,NA,"32","35","26","18","16","18","18","19","22","24",NA
"Devonta Freeman","19",NA,"22","20","24","20","15","17",NA,"24",NA,NA,"38","15","30","14","16"
