"player","ecr_01","ecr_02","ecr_03","ecr_04","ecr_05","ecr_06","ecr_07","ecr_08","ecr_09","ecr_10","ecr_11","ecr_12","ecr_13","ecr_14","ecr_15","ecr_16","ecr_17"
"A.J. Brown","87","53","60","63","56","50","45","39","43","35",NA,"44","43","35","16","14","7"
"Adam Humphries","56","76","85","67","71","67","58","68","53","48",NA,"63","67",NA,NA,NA,NA
"Adam Thielen","10","11","14","19","11","9","9",NA,"15",NA,NA,NA,"",NA,"29","23","71"
"Albert Wilson","52",NA,NA,NA,NA,"60","68","74","69","60","66","67","77","66","73","61","55"
"Allen Robinson","21","24","25","27","20",NA,"25","14","11","12","19","14","15","14","10","10","6"
"Alshon Jeffery","23","25",NA,"37","19","29","22","30","26",NA,NA,NA,"31","",NA,NA,NA
"Amari Cooper","13","9","6","6","8","7","20",NA,"3","8","6","15","18","16","15","12","9"
"Andy Isabella","91",NA,NA,NA,"86",NA,NA,NA,NA,"81","69",NA,"80","84",NA,NA,NA
"Anthony Miller","49","69","77","69","67",NA,"59","61","51","56","64","61","51","38","38","29","29"
"Brandin Cooks","12","13","18","13","15","22","13","23",NA,NA,NA,"39","33","39","54","62","49"
"Breshad Perriman","84","88","87",NA,NA,NA,NA,NA,NA,"73","77","85","87","75","44","15","12"
"Calvin Ridley","29","26","23","26","28","23","23","28",NA,"22","23","11","12","",NA,NA,NA
"Chester Rogers","119","118","99","83","78",NA,"95",NA,"71","47","57","84","",NA,NA,NA,NA
"Chris Conley","83","66","55","62","63","59","57","67","34",NA,"53","47","48","54","42","45","38"
"Chris Godwin","14","16","8","23","7","6",NA,"2","2","2","7","6","5","5","3",NA,NA
"Chris Hogan","96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"114",NA
"Christian Kirk","38","39","29","22",NA,NA,NA,"51","30","17","31",NA,"26","27","23","28","30"
"Cody Latimer","100","79",NA,"75",NA,NA,"82","88","95","72",NA,NA,NA,NA,NA,NA,NA
"Cole Beasley","67","63","61","51","48",NA,"46","54","49","45","48","54","50","47","48","55",NA
"Cooper Kupp","19","15","15","8","6","3","2","5",NA,"5","8","12","8","8","14","25","19"
"Cordarrelle Patterson","90","93",NA,NA,"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corey Davis","37","48","56","50","51","48","43","32","41",NA,NA,"55","61","50","59","58","57"
"Courtland Sutton","41","42","44","42","32","27","16","13","22",NA,"18","20","21","17","20","11","5"
"Curtis Samuel","33","33","36","29","30","30",NA,"37","29","26","20","27","40","32","39","43","39"
"D.J. Chark","80","60","47","43","37","20","15","15","9",NA,"15","10","7","20",NA,"40","27"
"D.J. Moore","25","18","28","25","31","26",NA,"33","25","18","10","13","9","6","6","9",NA
"D.K. Metcalf","57","43","35","31","40","38","27","22","21","33",NA,"23","22","26","25","20","22"
"DaeSean Hamilton","63","71","84","82","76","76","75","58","65",NA,"79","98",NA,NA,"101","91","74"
"Danny Amendola","74","56","68",NA,NA,"69","74","62","48","54","59","60","69","64","52","53","48"
"Dante Pettis","31","67","82",NA,"60","64","36","65","60","64",NA,NA,NA,NA,NA,NA,NA
"Davante Adams","5","6","5","4",NA,NA,NA,NA,"13","7",NA,"7","3","1","5","5","4"
"DeAndre Hopkins","1","2","1","3","1","2","3","1","1",NA,"5","3","11","3","1","1","60"
"Dede Westbrook","27","37","52","49","50","35","31","34",NA,NA,"36","38","36","42","32","48","50"
"Deebo Samuel","64","64","48",NA,"54","53",NA,NA,"52","44","35","29","39","33","24","35","26"
"DeSean Jackson","40","29",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
