"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"1","Brett Maher (NYJ)","3","3","100.0","63","0","2","0","0","1","4","4","1","15.0","15.0","2.0%"
"2","Greg Zuerlein (DAL)","3","4","75.0","55","0","2","0","0","1","4","4","1","15.0","15.0","97.0%"
"3","Josh Lambo (JAC)","4","4","100.0","37","0","3","1","0","0","1","1","1","13.0","13.0","5.0%"
"4","Stephen Hauschka (BUF)","3","3","100.0","45","0","0","1","2","0","2","2","1","13.0","13.0","4.0%"
"5","Justin Tucker (BAL)","3","3","100.0","28","0","3","0","0","0","3","3","1","12.0","12.0","100.0%"
"6","Ka'imi Fairbairn (HOU)","3","3","100.0","47","0","1","1","1","0","2","2","1","12.0","12.0","32.0%"
"7","Harrison Butker (KC)","3","3","100.0","39","0","1","2","0","0","3","3","1","12.0","12.0","99.0%"
"8","Chase McLaughlin (IND)","2","2","100.0","50","0","1","0","0","1","2","2","1","10.0","10.0","1.0%"
"9","Zane Gonzalez (ARI)","2","2","100.0","47","0","0","1","1","0","3","3","1","10.0","10.0","68.0%"
"10","Jason Myers (SEA)","3","4","75.0","35","0","0","3","0","0","1","1","1","10.0","10.0","22.0%"
"11","Wil Lutz (NO)","2","4","50.0","39","0","0","2","0","0","4","4","1","10.0","10.0","99.0%"
"12","Robbie Gould (SF)","3","4","75.0","29","0","3","0","0","0","0","0","1","9.0","9.0","90.0%"
"13","Daniel Carlson (LV)","1","1","100.0","45","0","0","0","1","0","3","3","1","7.0","7.0","2.0%"
"14","Mike Nugent (FA)","1","1","100.0","34","0","0","1","0","0","4","4","1","7.0","7.0","1.0%"
"15","Matt Prater (DET)","1","1","100.0","46","0","0","0","1","0","3","3","1","7.0","7.0","79.0%"
"16","Cody Parkey (FA)","1","1","100.0","45","0","0","0","1","0","2","3","1","6.0","6.0","0.0%"
"17","Eddy Pineiro (CHI)","1","1","100.0","46","0","0","0","1","0","2","2","1","6.0","6.0","1.0%"
"18","Matt Bryant (FA)","1","2","50.0","52","0","0","0","0","1","1","1","1","6.0","6.0","2.0%"
"19","Mason Crosby (GB)","0","0","0","0","0","0","0","0","0","6","6","1","6.0","6.0","15.0%"
"20","Dan Bailey (MIN)","0","1","0.0","0","0","0","0","0","0","6","6","1","6.0","6.0","41.0%"
"21","Randy Bullock (CIN)","1","1","100.0","38","0","0","1","0","0","2","2","1","5.0","5.0","2.0%"
"22","Jake Elliott (PHI)","1","1","100.0","38","0","0","1","0","0","1","1","1","4.0","4.0","35.0%"
"23","Adam Vinatieri (FA)","0","0","0","0","0","0","0","0","0","4","4","1","4.0","4.0","1.0%"
"24","Jason Sanders (MIA)","0","0","0","0","0","0","0","0","0","3","3","1","3.0","3.0","1.0%"
"25","Aldrick Rosas (FA)","0","1","0.0","0","0","0","0","0","0","3","3","1","3.0","3.0","1.0%"
"26","Rigoberto Sanchez (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"27","Younghoe Koo (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40.0%"
"28","Sam Ficken (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"29","Chandler Catanzaro (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"30","Greg Joseph (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"31","Kaare Vedvik (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"32","Michael Badgley (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.0%"
"33","Michael Palardy (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"34","Ty Long (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"35","Matt Gay (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","77.0%"
"36","Brandon McManus (DEN)","0","1","0.0","0","0","0","0","0","0","0","0","1","0.0","0.0","8.0%"
"37","Tristan Vizcaino (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"38","Elliott Fry (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"39","Austin Seibert (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.0%"
"40","Joey Slye (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.0%"
