FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Stephen Gostkowski,FA,K,2,1,
2,Justin Tucker,BAL,K,3,1,
3,Harrison Butker,KC,K,1,-2,
4,Greg Zuerlein,DAL,K,4,0,
5,Wil Lutz,NO,K,5,0,
6,Ka'imi Fairbairn,HOU,K,6,0,
7,Jake Elliott,PHI,K,7,0,
8,Brett Maher,NYJ,K,8,0,
9,Matt Prater,DET,K,10,1,
10,Robbie Gould,SF,K,9,-1,
11,Matt Bryant,FA,K,11,0,
12,Mason Crosby,GB,K,12,0,
13,Jason Myers,SEA,K,14,1,
14,Chris Boswell,PIT,K,13,-1,
15,Dan Bailey,MIN,K,16,1,
16,Joey Slye,CAR,K,18,2,
17,Stephen Hauschka,BUF,K,17,0,
18,Cairo Santos,FA,K,20,2,
19,Austin Seibert,CLE,K,15,-4,
