FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Ezekiel Elliott,DAL,RB,4,3,
2,Christian McCaffrey,CAR,RB,1,-1,
3,Alvin Kamara,NO,RB,2,-1,
4,Saquon Barkley,NYG,RB,3,-1,
5,Nick Chubb,CLE,RB,5,0,
6,Le'Veon Bell,NYJ,RB,9,3,
7,Chris Carson,SEA,RB,8,1,
8,Josh Jacobs,LV,RB,16,8,
9,James Conner,PIT,RB,6,-3,
10,Dalvin Cook,MIN,RB,7,-3,
11,Todd Gurley,ATL,RB,12,1,
12,Sony Michel,NE,RB,15,3,
13,Derrick Henry,TEN,RB,10,-3,
14,Leonard Fournette,JAC,RB,17,3,
15,David Johnson,HOU,RB,13,-2,
16,Mark Ingram II,BAL,RB,14,-2,
17,Damien Williams,KC,RB,19,2,
18,Marlon Mack,IND,RB,18,0,
19,Devonta Freeman,FA,RB,23,4,
20,Kerryon Johnson,DET,RB,20,0,
21,Austin Ekeler,LAC,RB,11,-10,
22,Aaron Jones,GB,RB,22,0,
23,Matt Breida,MIA,RB,21,-2,
24,Miles Sanders,PHI,RB,28,4,
25,Joe Mixon,CIN,RB,31,6,
26,Latavius Murray,NO,RB,33,7,
27,Phillip Lindsay,DEN,RB,29,2,
28,Devin Singletary,BUF,RB,24,-4,
29,James White,NE,RB,30,1,
30,David Montgomery,CHI,RB,32,2,
31,LeSean McCoy,TB,RB,25,-6,
32,Carlos Hyde,SEA,RB,41,9,
33,Giovani Bernard,CIN,RB,37,4,
34,Duke Johnson,HOU,RB,26,-8,
35,Adrian Peterson,WAS,RB,27,-8,
36,Chris Thompson,JAC,RB,39,3,
37,Tarik Cohen,CHI,RB,34,-3,
38,Ronald Jones II,TB,RB,35,-3,
39,Malcolm Brown,LAR,RB,42,3,
40,Royce Freeman,DEN,RB,40,0,
41,Jordan Howard,MIA,RB,44,3,
42,Kenyan Drake,ARI,RB,36,-6,
43,Rex Burkhead,NE,RB,43,0,
44,Frank Gore,NYJ,RB,52,8,
45,Peyton Barber,WAS,RB,45,0,
46,Dion Lewis,NYG,RB,51,5,
47,Rashaad Penny,SEA,RB,46,-1,
48,Justin Jackson,LAC,RB,38,-10,
49,Darren Sproles,FA,RB,56,7,
50,Ito Smith,ATL,RB,50,0,
51,Dare Ogunbowale,TB,RB,61,10,
52,Raheem Mostert,SF,RB,47,-5,
53,Kalen Ballage,MIA,RB,53,0,
54,C.J. Anderson,FA,RB,48,-6,
55,Justice Hill,BAL,RB,58,3,
56,Tony Pollard,DAL,RB,64,8,
57,Jalen Richard,LV,RB,62,5,
58,Mike Davis,CAR,RB,49,-9,
59,Gus Edwards,BAL,RB,55,-4,
60,Nyheim Hines,IND,RB,54,-6,
61,Alexander Mattison,MIN,RB,60,-1,
62,Jaylen Samuels,PIT,RB,59,-3,
63,Chase Edmonds,ARI,RB,68,5,
64,Darrell Henderson,LAR,RB,65,1,
65,Jamaal Williams,GB,RB,57,-8,
66,Darwin Thompson,KC,RB,66,0,
67,Ty Montgomery,NO,RB,63,-4,
68,Jordan Wilkins,IND,RB,76,8,
69,Ryquell Armstead,JAC,RB,69,0,
70,Wayne Gallman,NYG,RB,67,-3,
71,T.J. Yeldon,BUF,RB,70,-1,
72,Brian Hill,ATL,RB,84,12,
