FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Los Angeles Chargers,LAC,DST,1,0,
2,Los Angeles Rams,LAR,DST,2,0,
3,New England Patriots,NE,DST,3,0,
4,Chicago Bears,CHI,DST,4,0,
5,Green Bay Packers,GB,DST,11,6,
6,Jacksonville Jaguars,JAC,DST,6,0,
7,Minnesota Vikings,MIN,DST,7,0,
8,Denver Broncos,DEN,DST,9,1,
9,Houston Texans,HOU,DST,8,-1,
10,Baltimore Ravens,BAL,DST,5,-5,
11,Pittsburgh Steelers,PIT,DST,12,1,
12,Tennessee Titans,TEN,DST,16,4,
13,Carolina Panthers,CAR,DST,19,6,
14,Kansas City Chiefs,KC,DST,17,3,
15,Dallas Cowboys,DAL,DST,13,-2,
16,Atlanta Falcons,ATL,DST,15,-1,
17,Seattle Seahawks,SEA,DST,14,-3,
18,Philadelphia Eagles,PHI,DST,25,7,
19,Cleveland Browns,CLE,DST,21,2,
20,Indianapolis Colts,IND,DST,10,-10,
21,Buffalo Bills,BUF,DST,23,2,
22,Las Vegas Raiders,LV,DST,26,4,
23,Cincinnati Bengals,CIN,DST,20,-3,
24,Tampa Bay Buccaneers,TB,DST,28,4,
25,Washington Football Team,WAS,DST,24,-1,
26,New York Giants,NYG,DST,18,-8,
27,Detroit Lions,DET,DST,30,3,
28,New Orleans Saints,NO,DST,22,-6,
29,Arizona Cardinals,ARI,DST,27,-2,
30,Miami Dolphins,MIA,DST,29,-1,
