FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,George Kittle,SF,TE,1,0,
2,Zach Ertz,PHI,TE,3,1,
3,Travis Kelce,KC,TE,2,-1,
4,Darren Waller,LV,TE,5,1,
5,Austin Hooper,CLE,TE,8,3,
6,Jack Doyle,IND,TE,7,1,
7,Hunter Henry,LAC,TE,4,-3,
8,Dallas Goedert,PHI,TE,9,1,
9,Mark Andrews,BAL,TE,6,-3,
10,Jacob Hollister,SEA,TE,15,5,
11,Ryan Griffin,NYJ,TE,,,
12,O.J. Howard,TB,TE,16,4,
13,Vance McDonald,PIT,TE,12,-1,
14,Jason Witten,LV,TE,18,4,
15,Tyler Higbee,LAR,TE,13,-2,
16,Kyle Rudolph,MIN,TE,11,-5,
17,Jared Cook,NO,TE,10,-7,
18,Mike Gesicki,MIA,TE,14,-4,
19,David Njoku,CLE,TE,26,7,
20,Noah Fant,DEN,TE,17,-3,
21,Ian Thomas,CAR,TE,19,-2,
22,C.J. Uzomah,CIN,TE,37,15,
23,Jimmy Graham,CHI,TE,20,-3,
24,Dawson Knox,BUF,TE,23,-1,
25,Irv Smith Jr.,MIN,TE,25,0,
26,Jaeden Graham,ATL,TE,36,10,
27,Kaden Smith,NYG,TE,24,-3,
28,Jonnu Smith,TEN,TE,21,-7,
29,Benjamin Watson,FA,TE,28,-1,
30,Darren Fells,HOU,TE,22,-8,
31,Tyler Eifert,JAC,TE,27,-4,
32,Matt LaCosse,NE,TE,42,10,
33,Blake Jarwin,DAL,TE,33,0,
34,Cameron Brate,TB,TE,31,-3,
35,Jeremy Sprinkle,WAS,TE,29,-6,
36,Jordan Akins,HOU,TE,30,-6,
37,Anthony Firkser,TEN,TE,40,3,
38,Nick O'Leary,FA,TE,32,-6,
39,Jesse James,DET,TE,41,2,
40,Ross Travis,NYJ,TE,51,11,
41,Jeff Heuerman,FA,TE,45,4,
42,Robert Tonyan,GB,TE,55,13,
43,Logan Thomas,WAS,TE,35,-8,
44,Marcedes Lewis,GB,TE,48,4,
45,Foster Moreau,LV,TE,39,-6,
46,Ben Braunecker,FA,TE,82,36,
47,Hayden Hurst,ATL,TE,38,-9,
48,Nick Vannett,DEN,TE,47,-1,
49,Nick Boyle,BAL,TE,34,-15,
50,Charles Clay,FA,TE,46,-4,
51,Maxx Williams,ARI,TE,43,-8,
