FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,DeAndre Hopkins,ARI,WR,1,0,
2,Michael Thomas,NO,WR,2,0,
3,Tyreek Hill,KC,WR,4,1,
4,Davante Adams,GB,WR,5,1,
5,Julio Jones,ATL,WR,3,-2,
6,Stefon Diggs,BUF,WR,13,7,
7,D.J. Moore,CAR,WR,9,2,
8,DeVante Parker,MIA,WR,6,-2,
9,Amari Cooper,DAL,WR,12,3,
10,A.J. Brown,TEN,WR,14,4,
11,Tyler Lockett,SEA,WR,7,-4,
12,Courtland Sutton,DEN,WR,11,-1,
13,Julian Edelman,NE,WR,18,5,
14,Allen Robinson,CHI,WR,10,-4,
15,Tyler Boyd,CIN,WR,17,2,
16,Keenan Allen,LAC,WR,8,-8,
17,Will Fuller,HOU,WR,22,5,
18,Cooper Kupp,LAR,WR,25,7,
19,Adam Thielen,MIN,WR,23,4,
20,Breshad Perriman,NYJ,WR,15,-5,
21,Terry McLaurin,WAS,WR,16,-5,
22,Mike Williams,LAC,WR,24,2,
23,Robert Woods,LAR,WR,19,-4,
24,Jarvis Landry,CLE,WR,26,2,
25,Michael Gallup,DAL,WR,27,2,
26,Sterling Shepard,NYG,WR,36,10,
27,Christian Kirk,ARI,WR,28,1,
28,Anthony Miller,CHI,WR,29,1,
29,D.J. Chark,JAC,WR,40,11,
30,Odell Beckham Jr.,CLE,WR,31,1,
31,T.Y. Hilton,IND,WR,30,-1,
32,D.K. Metcalf,SEA,WR,20,-12,
33,Kenny Golladay,DET,WR,21,-12,
34,John Brown,BUF,WR,34,0,
35,Robby Anderson,CAR,WR,38,3,
36,Emmanuel Sanders,NO,WR,33,-3,
37,Darius Slayton,NYG,WR,32,-5,
38,Golden Tate,NYG,WR,44,6,
39,Deebo Samuel,SF,WR,35,-4,
40,JuJu Smith-Schuster,PIT,WR,51,11,
41,Curtis Samuel,CAR,WR,43,2,
42,Chris Conley,JAC,WR,45,3,
43,Sammy Watkins,KC,WR,50,7,
44,Marquise Brown,BAL,WR,37,-7,
45,Jamison Crowder,NYJ,WR,39,-6,
46,Kenny Stills,HOU,WR,52,6,
47,Greg Ward,PHI,WR,47,0,
48,Dede Westbrook,JAC,WR,48,0,
49,Steven Sims,WAS,WR,65,16,
50,Diontae Johnson,PIT,WR,57,7,
51,Zach Pascal,IND,WR,42,-9,
52,Cole Beasley,BUF,WR,55,3,
53,James Washington,PIT,WR,46,-7,
54,Justin Watson,TB,WR,41,-13,
55,Brandin Cooks,HOU,WR,62,7,
56,Corey Davis,TEN,WR,58,2,
57,Allen Lazard,GB,WR,64,7,
58,Tyrell Williams,LV,WR,49,-9,
59,Christian Blake,ATL,WR,77,18,
60,Danny Amendola,DET,WR,53,-7,
61,Tim Patrick,DEN,WR,75,14,
62,Larry Fitzgerald,ARI,WR,54,-8,
63,Russell Gage,ATL,WR,56,-7,
64,Ted Ginn,CHI,WR,66,2,
65,Mecole Hardman,KC,WR,72,7,
66,Kelvin Harmon,WAS,WR,73,7,
67,Albert Wilson,MIA,WR,61,-6,
68,Mohamed Sanu,NE,WR,69,1,
69,John Ross,CIN,WR,59,-10,
70,Randall Cobb,HOU,WR,60,-10,
71,Isaiah Ford,MIA,WR,88,17,
72,Tre'Quan Smith,NO,WR,76,4,
73,Allen Hurns,MIA,WR,63,-10,
74,Alex Erickson,CIN,WR,67,-7,
75,N'Keal Harry,NE,WR,68,-7,
76,Malik Turner,FA,WR,100,24,
77,Willie Snead,BAL,WR,81,4,
78,Keelan Doss,LV,WR,101,23,
79,Damiere Byrd,NE,WR,86,7,
80,J.J. Arcega-Whiteside,PHI,WR,74,-6,
81,Geronimo Allison,DET,WR,85,4,
82,Keelan Cole,JAC,WR,78,-4,
83,Dontrelle Inman,WAS,WR,120,37,
84,Phillip Dorsett,SEA,WR,83,-1,
85,Marcus Johnson,IND,WR,70,-15,
86,Jakobi Meyers,NE,WR,87,1,
87,Kendrick Bourne,SF,WR,71,-16,
88,DaeSean Hamilton,DEN,WR,91,3,
89,Demarcus Robinson,KC,WR,80,-9,
90,Josh Reynolds,LAR,WR,95,5,
91,Olabisi Johnson,MIN,WR,92,1,
92,David Moore,SEA,WR,90,-2,
93,Tajae Sharpe,MIN,WR,89,-4,
94,Zay Jones,LV,WR,93,-1,
95,Seth Roberts,CAR,WR,84,-11,
96,Chris Hogan,FA,WR,114,18,
97,Jarius Wright,FA,WR,94,-3,
98,Miles Boykin,BAL,WR,97,-1,
99,Andre Roberts,BUF,WR,124,25,
