FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Patrick Mahomes,KC,QB,1,0,
2,Aaron Rodgers,GB,QB,6,4,
3,Jameis Winston,NO,QB,3,0,
4,Drew Brees,NO,QB,2,-2,
5,Dak Prescott,DAL,QB,4,-1,
6,Matt Ryan,ATL,QB,5,-1,
7,Ryan Tannehill,TEN,QB,7,0,
8,Carson Wentz,PHI,QB,8,0,
9,Russell Wilson,SEA,QB,10,1,
10,Tom Brady,TB,QB,9,-1,
11,Daniel Jones,NYG,QB,11,0,
12,Jimmy Garoppolo,SF,QB,12,0,
13,Baker Mayfield,CLE,QB,14,1,
14,Andy Dalton,DAL,QB,13,-1,
15,Jared Goff,LAR,QB,15,0,
16,Gardner Minshew II,JAC,QB,16,0,
17,Mitch Trubisky,CHI,QB,18,1,
18,Drew Lock,DEN,QB,20,2,
19,Deshaun Watson,HOU,QB,28,9,
20,Philip Rivers,IND,QB,19,-1,
21,Jacoby Brissett,IND,QB,17,-4,
22,Ryan Fitzpatrick,MIA,QB,21,-1,
23,Robert Griffin,BAL,QB,24,1,
24,Derek Carr,LV,QB,22,-2,
25,Sam Darnold,NYJ,QB,23,-2,
26,Case Keenum,CLE,QB,25,-1,
