"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","OWN"
"1","New England Patriots (NE)","1","3","1","1","1","0","1","1","31.0","31.0","96.0%"
"2","Denver Broncos (DEN)","7","3","0","1","0","0","0","1","23.0","23.0","69.0%"
"3","Carolina Panthers (CAR)","7","5","2","2","0","0","0","1","21.0","21.0","2.0%"
"4","Pittsburgh Steelers (PIT)","1","2","1","0","1","0","0","1","14.0","14.0","99.0%"
"5","New York Giants (NYG)","3","1","1","1","1","0","0","1","14.0","14.0","1.0%"
"6","New Orleans Saints (NO)","2","1","0","0","0","0","0","1","11.0","11.0","94.0%"
"7","Washington Football Team (WAS)","5","2","0","1","0","0","0","1","10.0","10.0","14.0%"
"8","San Francisco 49ers (SF)","4","0","1","1","0","0","0","1","10.0","10.0","100.0%"
"9","Minnesota Vikings (MIN)","2","2","1","1","0","0","0","1","9.0","9.0","86.0%"
"10","Seattle Seahawks (SEA)","0","3","1","1","0","0","0","1","7.0","7.0","53.0%"
"11","Jacksonville Jaguars (JAC)","3","0","0","1","0","0","0","1","7.0","7.0","4.0%"
"12","Detroit Lions (DET)","1","1","2","1","0","0","0","1","7.0","7.0","4.0%"
"13","Los Angeles Rams (LAR)","2","1","1","1","0","0","0","1","7.0","7.0","76.0%"
"14","Houston Texans (HOU)","1","1","1","1","0","0","0","1","5.0","5.0","10.0%"
"15","Kansas City Chiefs (KC)","0","2","1","1","0","0","0","1","5.0","5.0","94.0%"
"16","Baltimore Ravens (BAL)","2","1","0","0","0","0","0","1","5.0","5.0","99.0%"
"17","Tennessee Titans (TEN)","1","1","0","1","0","0","0","1","4.0","4.0","39.0%"
"18","Dallas Cowboys (DAL)","2","1","0","0","0","0","0","1","4.0","4.0","46.0%"
"19","Cleveland Browns (CLE)","3","0","1","2","0","0","0","1","4.0","4.0","34.0%"
"20","Green Bay Packers (GB)","3","0","0","0","0","0","0","1","3.0","3.0","32.0%"
"21","Cincinnati Bengals (CIN)","1","0","1","1","0","0","1","1","3.0","3.0","7.0%"
"22","Los Angeles Chargers (LAC)","0","1","0","0","0","0","0","1","3.0","3.0","66.0%"
"23","Arizona Cardinals (ARI)","2","0","0","1","0","0","0","1","1.0","1.0","5.0%"
"24","Philadelphia Eagles (PHI)","1","1","1","1","0","0","0","1","1.0","1.0","65.0%"
"25","New York Jets (NYJ)","1","0","0","0","0","0","0","1","1.0","1.0","29.0%"
"26","Miami Dolphins (MIA)","0","0","0","0","0","0","0","1","1.0","1.0","3.0%"
"27","Las Vegas Raiders (LV)","0","0","0","0","0","0","0","0","0","0","3.0%"
"28","Indianapolis Colts (IND)","0","0","0","0","0","0","0","0","0","0","74.0%"
"29","Chicago Bears (CHI)","0","0","0","0","0","0","0","0","0","0","93.0%"
"30","Tampa Bay Buccaneers (TB)","2","0","1","0","0","0","0","1","0.0","0.0","56.0%"
"31","Buffalo Bills (BUF)","0","0","0","0","0","0","0","0","0","0","98.0%"
"32","Atlanta Falcons (ATL)","0","0","0","0","0","0","0","1","-1.0","-1.0","2.0%"
""
""
