"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Darren Waller (LV)","7","8","126","18.0","48","1","2","0","0","0","0","1","24.6","24.6","99.0%"
"2","Eric Ebron (PIT)","4","5","70","17.5","33","1","1","0","0","0","0","1","13.0","13.0","52.0%"
"3","Jimmy Graham (CHI)","4","4","65","16.3","29","2","1","0","0","0","0","1","12.5","12.5","6.0%"
"4","Kyle Rudolph (MIN)","5","6","58","11.6","15","0","1","0","0","0","0","1","11.8","11.8","18.0%"
"5","Gerald Everett (LAR)","4","10","50","12.5","33","1","1","0","0","0","0","1","11.0","11.0","11.0%"
"6","Dallas Goedert (PHI)","4","4","69","17.3","28","2","1","0","0","0","1","1","10.9","10.9","76.0%"
"7","Austin Hooper (CLE)","4","5","46","11.5","19","0","1","0","0","0","0","1","10.6","10.6","92.0%"
"8","Josh Hill (NO)","3","3","43","14.3","27","1","1","0","0","0","0","1","10.3","10.3","0.0%"
"9","Hunter Henry (LAC)","6","8","97","16.2","23","3","0","0","0","0","0","1","9.7","9.7","98.0%"
"10","Rhett Ellison (FA)","2","2","33","16.5","28","1","1","0","0","0","0","1","9.3","9.3","0.0%"
"11","Foster Moreau (LV)","2","3","24","12.0","14","0","1","0","0","0","0","1","8.4","8.4","0.0%"
"12","Jonnu Smith (TEN)","3","3","64","21.3","35","2","0","0","0","0","0","1","6.4","6.4","79.0%"
"13","Blake Jarwin (DAL)","1","1","1","1.0","1","0","1","0","0","0","0","1","6.1","6.1","51.0%"
"14","Irv Smith Jr. (MIN)","5","6","60","12.0","28","1","0","0","0","0","0","1","6.0","6.0","34.0%"
"15","Adam Shaheen (MIA)","2","2","24","12.0","18","0","0","0","0","0","0","1","4.4","4.4","0.0%"
"16","Travis Kelce (KC)","6","8","44","7.3","13","0","0","0","0","0","0","1","4.4","4.4","100.0%"
"17","Mike Gesicki (MIA)","4","4","41","10.3","17","0","0","0","0","0","0","1","4.1","4.1","81.0%"
"18","Mark Andrews (BAL)","2","8","39","19.5","33","1","0","0","0","0","0","1","3.9","3.9","100.0%"
"19","Zach Ertz (PHI)","2","6","38","19.0","24","1","0","0","0","0","0","1","3.8","3.8","99.0%"
"20","George Kittle (SF)","3","5","38","12.7","16","0","0","2","0","0","0","1","3.8","3.8","100.0%"
"21","Jason Witten (LV)","4","4","33","8.3","10","0","0","0","0","0","0","1","3.3","3.3","4.0%"
"22","T.J. Hockenson (DET)","3","5","32","10.7","14","0","0","0","0","0","0","1","3.2","3.2","80.0%"
