"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"1","Dan Bailey (MIN)","4","4","100.0","50","0","2","0","1","1","1","1","1","16.0","16.0","41.0%"
"2","Adam Vinatieri (FA)","3","4","75.0","55","0","0","0","1","2","0","1","1","14.0","14.0","1.0%"
"3","Cody Parkey (FA)","2","2","100.0","51","0","0","0","1","1","3","3","1","12.0","12.0","0.0%"
"4","Jason Myers (SEA)","2","2","100.0","54","0","0","0","1","1","3","3","1","12.0","12.0","22.0%"
"5","Josh Lambo (JAC)","3","3","100.0","43","0","2","0","1","0","2","3","1","12.0","12.0","5.0%"
"6","Chris Boswell (PIT)","2","3","66.7","42","0","0","0","2","0","3","3","1","11.0","11.0","11.0%"
"7","Zane Gonzalez (ARI)","3","3","100.0","50","0","0","2","0","1","0","0","1","11.0","11.0","68.0%"
"8","Ka'imi Fairbairn (HOU)","2","2","100.0","40","0","0","1","1","0","3","3","1","10.0","10.0","32.0%"
"9","Eddy Pineiro (CHI)","3","5","60.0","25","1","2","0","0","0","1","1","1","10.0","10.0","1.0%"
"10","Matt Gay (TB)","3","3","100.0","48","0","2","0","1","0","0","0","1","10.0","10.0","77.0%"
"11","Dustin Hopkins (WAS)","3","3","100.0","43","0","1","1","1","0","0","0","1","10.0","10.0","1.0%"
"12","Robbie Gould (SF)","1","1","100.0","20","0","1","0","0","0","6","6","1","9.0","9.0","90.0%"
"13","Mike Nugent (FA)","2","4","50.0","29","0","2","0","0","0","3","3","1","9.0","9.0","1.0%"
"14","Matt Prater (DET)","1","2","50.0","52","0","0","0","0","1","4","4","1","9.0","9.0","79.0%"
"15","Austin Seibert (CLE)","2","2","100.0","47","0","0","1","1","0","1","1","1","8.0","8.0","4.0%"
"16","Wil Lutz (NO)","1","2","50.0","26","0","1","0","0","0","4","4","1","7.0","7.0","99.0%"
"17","Mason Crosby (GB)","1","1","100.0","35","0","0","1","0","0","4","4","1","7.0","7.0","15.0%"
"18","Daniel Carlson (LV)","1","1","100.0","44","0","0","0","1","0","3","3","1","7.0","7.0","2.0%"
"19","Matt Bryant (FA)","2","4","50.0","47","0","0","1","1","0","0","0","1","7.0","7.0","2.0%"
"20","Brandon McManus (DEN)","2","2","100.0","29","0","2","0","0","0","1","1","1","7.0","7.0","8.0%"
"21","Harrison Butker (KC)","1","2","50.0","28","0","1","0","0","0","3","3","1","6.0","6.0","99.0%"
"22","Greg Zuerlein (DAL)","1","1","100.0","23","0","1","0","0","0","3","3","1","6.0","6.0","97.0%"
"23","Chase McLaughlin (IND)","1","2","50.0","20","0","1","0","0","0","2","2","1","5.0","5.0","1.0%"
"24","Jake Elliott (PHI)","1","1","100.0","37","0","0","1","0","0","2","3","1","5.0","5.0","35.0%"
"25","Randy Bullock (CIN)","1","1","100.0","28","0","1","0","0","0","1","1","1","4.0","4.0","2.0%"
"26","Joey Slye (CAR)","1","1","100.0","41","0","0","0","1","0","0","0","1","4.0","4.0","18.0%"
"27","Jason Sanders (MIA)","0","0","0","0","0","0","0","0","0","2","2","1","2.0","2.0","1.0%"
"28","Aldrick Rosas (FA)","0","0","0","0","0","0","0","0","0","2","3","1","2.0","2.0","1.0%"
"29","Sam Ficken (NYJ)","0","0","0","0","0","0","0","0","0","1","1","1","1.0","1.0","0.0%"
"30","Stephen Hauschka (BUF)","0","1","0.0","0","0","0","0","0","0","1","2","1","1.0","1.0","4.0%"
"31","Rigoberto Sanchez (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"32","Younghoe Koo (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40.0%"
"33","Chandler Catanzaro (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"34","Michael Palardy (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"35","Greg Joseph (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"36","Ty Long (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"37","Michael Badgley (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.0%"
"38","Kaare Vedvik (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"39","Sam Sloman (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"40","Tucker McCann (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"41","Lirim Hajrullahu (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"42","Austin MacGinnis (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Ramiz Ahmed (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"44","Justin Rohrwasser (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"45","Tyler Bass (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"46","Elliott Fry (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
