"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Leonard Fournette (JAC)","24","97","4.0","16","0","2","9","12","62","6.9","0","0","1","27.9","27.9","96.0%"
"2","Derrick Henry (TEN)","19","159","8.4","74","1","2","1","1","16","16.0","0","1","1","27.5","27.5","100.0%"
"3","Christian McCaffrey (CAR)","22","64","2.9","9","0","1","9","9","69","7.7","1","0","1","25.3","25.3","100.0%"
"4","Mark Ingram II (BAL)","15","111","7.4","25","1","1","1","1","7","7.0","1","0","1","23.8","23.8","97.0%"
"5","Nick Chubb (CLE)","21","106","5.0","17","0","1","3","3","58","19.3","0","0","1","22.4","22.4","100.0%"
"6","Rashaad Penny (SEA)","14","129","9.2","58","3","1","0","1","0","0","0","0","1","18.9","18.9","12.0%"
"7","Jonathan Williams (FA)","26","104","4.0","13","0","1","3","3","17","5.7","0","0","1","18.1","18.1","0.0%"
"8","Raheem Mostert (SF)","6","45","7.5","15","0","1","1","3","22","22.0","0","0","1","12.7","12.7","96.0%"
"9","Ronald Jones II (TB)","12","51","4.3","25","1","1","3","3","16","5.3","0","0","1","12.7","12.7","89.0%"
"10","Ezekiel Elliott (DAL)","21","86","4.1","12","0","0","4","4","40","10.0","0","0","1","12.6","12.6","100.0%"
"11","Latavius Murray (NO)","7","64","9.1","26","1","1","0","0","0","0","0","0","1","12.4","12.4","70.0%"
"12","Devin Singletary (BUF)","21","106","5.0","11","0","0","1","2","8","8.0","0","0","1","11.4","11.4","95.0%"
"13","Tevin Coleman (SF)","11","39","3.5","11","0","1","2","4","10","5.0","0","0","1","10.9","10.9","67.0%"
"14","Le'Veon Bell (NYJ)","12","49","4.1","12","0","0","5","5","59","11.8","0","0","1","10.8","10.8","96.0%"
"15","Kareem Hunt (CLE)","8","37","4.6","9","0","1","2","3","9","4.5","0","0","1","10.6","10.6","92.0%"
"16","Benny Snell Jr. (PIT)","21","98","4.7","21","1","0","1","1","5","5.0","0","0","1","10.3","10.3","5.0%"
"17","Alvin Kamara (NO)","11","54","4.9","30","1","0","9","9","48","5.3","0","0","1","10.2","10.2","100.0%"
"18","Qadree Ollison (ATL)","8","20","2.5","6","0","1","1","1","7","7.0","0","0","1","8.7","8.7","0.0%"
"19","Miles Sanders (PHI)","12","63","5.3","14","0","0","3","5","23","7.7","0","0","1","8.6","8.6","99.0%"
"20","Sony Michel (NE)","20","85","4.3","17","0","0","0","0","0","0","0","0","1","8.5","8.5","87.0%"
"21","Jamaal Williams (GB)","11","45","4.1","12","0","0","7","8","35","5.0","0","0","1","8.0","8.0","13.0%"
"22","Joe Mixon (CIN)","18","79","4.4","14","0","0","0","0","0","0","0","0","1","7.9","7.9","100.0%"
"23","Bo Scarbrough (DET)","18","98","5.4","30","1","0","0","1","0","0","0","1","1","7.8","7.8","1.0%"
"24","Phillip Lindsay (DEN)","13","57","4.4","16","0","0","1","3","11","11.0","0","0","1","6.8","6.8","88.0%"
"25","Carlos Hyde (SEA)","16","67","4.2","33","1","0","0","0","0","0","0","0","1","6.7","6.7","18.0%"
"26","Frank Gore (NYJ)","15","65","4.3","27","1","0","0","0","0","0","0","0","1","6.5","6.5","2.0%"
"27","Nyheim Hines (IND)","9","51","5.7","18","0","0","2","3","10","5.0","0","0","1","6.1","6.1","23.0%"
"28","Saquon Barkley (NYG)","17","59","3.5","22","1","0","2","3","1","0.5","0","0","1","6.0","6.0","100.0%"
"29","Chris Carson (SEA)","8","26","3.3","6","0","0","4","4","31","7.8","0","0","1","5.7","5.7","98.0%"
"30","Gus Edwards (BAL)","14","55","3.9","11","0","0","0","0","0","0","0","0","1","5.5","5.5","5.0%"
"31","Tarik Cohen (CHI)","6","25","4.2","13","0","0","7","9","29","4.1","0","0","1","5.4","5.4","76.0%"
"32","Jalen Richard (LV)","2","4","2.0","5","0","0","6","7","47","7.8","0","0","1","5.1","5.1","2.0%"
"33","Adrian Peterson (WAS)","10","27","2.7","7","0","0","1","1","22","22.0","0","0","1","4.9","4.9","47.0%"
"34","Dion Lewis (NYG)","5","21","4.2","8","0","0","1","2","24","24.0","0","0","1","4.5","4.5","2.0%"
"35","Kerrith Whyte Jr. (PIT)","6","43","7.2","21","1","0","0","0","0","0","0","0","1","4.3","4.3","0.0%"
"36","Derrius Guice (FA)","10","32","3.2","11","0","0","1","2","6","6.0","0","0","1","3.8","3.8","69.0%"
"37","Aaron Jones (GB)","13","38","2.9","11","0","0","0","1","0","0","0","0","1","3.8","3.8","100.0%"
"38","Josh Jacobs (LV)","10","34","3.4","15","0","0","1","1","2","2.0","0","0","1","3.6","3.6","100.0%"
"39","Jaylen Samuels (PIT)","2","6","3.0","4","0","0","3","3","26","8.7","0","0","1","3.2","3.2","4.0%"
"40","Peyton Barber (WAS)","11","32","2.9","8","0","0","0","1","0","0","0","0","1","3.2","3.2","3.0%"
"41","David Montgomery (CHI)","13","22","1.7","13","0","0","2","3","9","4.5","0","0","1","3.1","3.1","94.0%"
"42","Duke Johnson (HOU)","5","22","4.4","19","0","0","1","1","8","8.0","0","0","1","3.0","3.0","47.0%"
"43","Giovani Bernard (CIN)","1","-1","-1.0","0","0","0","3","3","31","10.3","0","0","1","3.0","3.0","6.0%"
"44","Royce Freeman (DEN)","2","20","10.0","13","0","0","2","2","9","4.5","0","0","1","2.9","2.9","9.0%"
"45","Tony Pollard (DAL)","4","19","4.8","8","0","0","3","4","9","3.0","0","0","1","2.8","2.8","51.0%"
"46","Jeff Wilson (SF)","2","27","13.5","25","1","0","0","1","0","0","0","0","1","2.7","2.7","0.0%"
