"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","George Kittle (SF)","6","6","129","21.5","61","3","1","0","0","0","0","1","18.9","18.9","100.0%"
"2","Jared Cook (NO)","6","8","99","16.5","21","3","1","0","0","0","0","1","15.9","15.9","97.0%"
"3","Zach Ertz (PHI)","12","14","91","7.6","12","0","1","0","0","0","0","1","15.1","15.1","99.0%"
"4","Mike Gesicki (MIA)","3","7","28","9.3","11","0","1","0","0","0","0","1","8.8","8.8","81.0%"
"5","Logan Thomas (WAS)","2","2","24","12.0","12","0","1","0","0","0","0","1","8.4","8.4","0.0%"
"6","Kaden Smith (NYG)","5","6","17","3.4","11","0","1","0","0","0","0","1","7.7","7.7","1.0%"
"7","Ryan Griffin (NYJ)","3","3","13","4.3","12","0","1","0","0","0","0","1","7.3","7.3","1.0%"
"8","Jaeden Graham (ATL)","1","2","53","53.0","53","1","0","0","0","0","0","1","5.3","5.3","0.0%"
"9","Mark Andrews (BAL)","2","3","45","22.5","38","1","0","0","0","0","0","1","4.5","4.5","100.0%"
"10","Eric Ebron (PIT)","4","5","44","11.0","14","0","0","0","0","0","0","1","4.4","4.4","52.0%"
"11","Greg Olsen (SEA)","5","7","44","8.8","15","0","0","0","0","0","0","1","4.4","4.4","42.0%"
"12","Darren Waller (LV)","3","6","41","13.7","19","0","0","0","0","0","0","1","4.1","4.1","99.0%"
"13","Nick O'Leary (FA)","4","4","36","9.0","15","0","0","0","0","0","0","1","3.6","3.6","0.0%"
"14","Jack Doyle (IND)","3","4","28","9.3","12","0","0","0","0","0","0","1","2.8","2.8","50.0%"
"15","Jordan Akins (HOU)","3","4","26","8.7","13","0","0","0","0","0","0","1","2.6","2.6","1.0%"
"16","Darren Fells (HOU)","1","2","24","24.0","24","1","0","0","0","0","0","1","2.4","2.4","3.0%"
"17","Gerald Everett (LAR)","2","2","23","11.5","15","0","0","0","0","0","0","1","2.3","2.3","11.0%"
"18","Jacob Hollister (SEA)","2","4","22","11.0","21","1","0","0","0","0","0","1","2.2","2.2","2.0%"
"19","Tyler Higbee (LAR)","5","6","20","4.0","7","0","0","0","0","0","0","1","2.0","2.0","95.0%"
"20","Demetrius Harris (CHI)","2","2","20","10.0","12","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"21","MyCole Pruitt (TEN)","1","1","20","20.0","20","1","0","0","0","0","0","1","2.0","2.0","0.0%"
"22","Andrew Beck (DEN)","1","1","18","18.0","18","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"23","Blake Jarwin (DAL)","3","4","17","5.7","8","0","0","0","0","0","0","1","1.7","1.7","51.0%"
"24","Noah Fant (DEN)","3","5","14","4.7","16","0","0","0","0","0","0","1","1.4","1.4","83.0%"
"25","Tyler Kroft (BUF)","1","1","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"26","Dallas Goedert (PHI)","7","8","32","4.6","14","0","0","0","0","0","1","1","1.2","1.2","76.0%"
"27","Josh Hill (NO)","1","1","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"28","Dawson Knox (BUF)","2","2","11","5.5","6","0","0","0","0","0","0","1","1.1","1.1","12.0%"
"29","Scott Simonson (FA)","1","1","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","0.0%"
"30","O.J. Howard (TB)","1","2","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","34.0%"
"31","Ben Braunecker (FA)","2","4","9","4.5","5","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"32","Stephen Carlson (CLE)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"33","Robert Tonyan (GB)","2","2","8","4.0","5","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"34","Jesse James (DET)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"35","Jimmy Graham (CHI)","1","2","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","6.0%"
"36","Nick Boyle (BAL)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"37","Tyler Eifert (JAC)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","6.0%"
"38","Matt LaCosse (NE)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.0%"
"39","Jason Witten (LV)","1","4","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","4.0%"
