"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Chris Godwin (TB)","7","8","184","26.3","71","5","2","0","0","0","0","1","30.4","30.4","100.0%"
"2","Jarvis Landry (CLE)","10","13","148","14.8","37","2","2","0","0","0","0","1","26.8","26.8","92.0%"
"3","D.J. Moore (CAR)","6","9","126","21.0","52","2","2","1","8","0","0","1","25.4","25.4","98.0%"
"4","DeAndre Hopkins (ARI)","6","8","94","15.7","35","2","2","0","0","0","0","1","21.4","21.4","100.0%"
"5","A.J. Brown (TEN)","4","5","135","33.8","65","2","1","0","0","0","0","1","19.5","19.5","99.0%"
"6","Allen Robinson (CHI)","6","10","131","21.8","49","3","1","0","0","0","0","1","19.1","19.1","99.0%"
"7","Marquise Brown (BAL)","5","7","42","8.4","18","0","2","0","0","0","0","1","16.2","16.2","93.0%"
"8","Michael Thomas (NO)","10","11","101","10.1","24","1","1","0","0","0","0","1","16.1","16.1","100.0%"
"9","Calvin Ridley (ATL)","6","14","85","14.2","21","1","1","1","15","0","0","1","16.0","16.0","96.0%"
"10","James Washington (PIT)","3","7","98","32.7","79","1","1","0","0","0","0","1","15.8","15.8","21.0%"
"11","Robby Anderson (CAR)","4","5","86","21.5","31","3","1","0","0","0","0","1","14.6","14.6","47.0%"
"12","Odell Beckham Jr. (CLE)","6","8","84","14.0","35","1","1","0","0","0","0","1","14.4","14.4","100.0%"
"13","Tyler Boyd (CIN)","5","9","101","20.2","47","2","1","0","0","0","1","1","14.1","14.1","91.0%"
"14","Will Fuller (HOU)","7","11","140","20.0","51","2","0","0","0","0","0","1","14.0","14.0","88.0%"
"15","Cole Beasley (BUF)","6","9","76","12.7","30","1","1","0","0","0","0","1","13.6","13.6","11.0%"
"16","Willie Snead (BAL)","2","3","14","7.0","7","0","2","0","0","0","0","1","13.4","13.4","1.0%"
"17","Davante Adams (GB)","7","12","43","6.1","14","0","1","0","0","0","0","1","12.3","12.3","100.0%"
"18","Deebo Samuel (SF)","2","2","50","25.0","42","1","1","0","0","0","0","1","11.0","11.0","89.0%"
"19","Allen Hurns (MIA)","4","7","42","10.5","19","0","1","0","0","0","0","1","10.2","10.2","0.0%"
"20","John Brown (BUF)","2","4","39","19.5","34","1","1","0","0","0","0","1","9.9","9.9","89.0%"
"21","Robert Woods (LAR)","6","9","97","16.2","38","2","0","0","0","0","0","1","9.7","9.7","94.0%"
"22","Malik Turner (FA)","1","2","33","33.0","33","1","1","0","0","0","0","1","9.3","9.3","0.0%"
"23","Julian Edelman (NE)","8","12","93","11.6","23","3","0","0","0","0","0","1","9.3","9.3","91.0%"
"24","Golden Tate (NYG)","3","7","33","11.0","23","1","1","0","0","0","0","1","9.3","9.3","45.0%"
"25","DeVante Parker (MIA)","6","11","91","15.2","22","2","0","0","0","0","0","1","9.1","9.1","96.0%"
"26","Randall Cobb (HOU)","4","7","86","21.5","59","1","0","0","0","0","0","1","8.6","8.6","10.0%"
"27","Anthony Miller (CHI)","6","9","77","12.8","22","1","0","0","0","0","0","1","7.7","7.7","50.0%"
"28","Russell Gage (ATL)","8","10","76","9.5","19","0","0","0","0","0","0","1","7.6","7.6","3.0%"
"29","Jakobi Meyers (NE)","4","9","74","18.5","32","2","0","0","0","0","0","1","7.4","7.4","1.0%"
"30","Tre'Quan Smith (NO)","1","3","13","13.0","13","0","1","0","0","0","0","1","7.3","7.3","2.0%"
"31","Terry McLaurin (WAS)","5","12","72","14.4","26","1","0","0","0","0","0","1","7.2","7.2","95.0%"
"32","N'Keal Harry (NE)","1","4","10","10.0","10","0","1","0","0","0","0","1","7.0","7.0","47.0%"
"33","Braxton Berrios (NYJ)","1","1","69","69.0","69","1","0","0","0","0","0","1","6.9","6.9","0.0%"
"34","Dede Westbrook (JAC)","8","9","69","8.6","22","2","0","0","0","0","0","1","6.9","6.9","14.0%"
"35","Julio Jones (ATL)","5","10","68","13.6","31","1","0","0","0","0","0","1","6.8","6.8","100.0%"
"36","Darius Slayton (NYG)","4","7","67","16.8","19","0","0","0","0","0","0","1","6.7","6.7","85.0%"
"37","Kenny Golladay (DET)","4","4","61","15.3","34","1","0","0","0","0","0","1","6.1","6.1","99.0%"
"38","Steven Sims (WAS)","0","2","0","0","0","0","0","0","0","0","0","1","6.0","6.0","7.0%"
"39","D.J. Chark (JAC)","5","6","38","7.6","12","0","0","0","0","0","0","1","5.8","5.8","95.0%"
"40","Michael Gallup (DAL)","4","6","55","13.8","22","1","0","0","0","0","0","1","5.5","5.5","93.0%"
"41","Miles Boykin (BAL)","2","2","54","27.0","39","1","0","0","0","0","0","1","5.4","5.4","4.0%"
"42","Mike Evans (TB)","4","8","50","12.5","17","0","0","0","0","0","0","1","5.0","5.0","100.0%"
"43","Curtis Samuel (CAR)","1","4","9","9.0","9","0","0","4","40","0","0","1","4.9","4.9","40.0%"
"44","Chris Conley (JAC)","4","9","49","12.3","16","0","0","0","0","0","0","1","4.9","4.9","3.0%"
"45","Marvin Jones (DET)","5","11","46","9.2","14","0","0","0","0","0","0","1","4.6","4.6","76.0%"
"46","Robert Foster (BUF)","1","1","24","24.0","24","1","0","1","22","0","0","1","4.6","4.6","0.0%"
"47","Breshad Perriman (NYJ)","1","1","44","44.0","44","1","0","0","0","0","0","1","4.4","4.4","39.0%"
"48","J.J. Arcega-Whiteside (PHI)","2","5","43","21.5","30","1","0","0","0","0","0","1","4.3","4.3","3.0%"
"49","Alex Erickson (CIN)","2","8","43","21.5","30","1","0","0","0","0","0","1","4.3","4.3","1.0%"
"50","Kelvin Harmon (WAS)","3","6","43","14.3","26","1","0","0","0","0","0","1","4.3","4.3","1.0%"
"51","Greg Ward (PHI)","6","7","40","6.7","9","0","0","0","0","0","0","1","4.0","4.0","1.0%"
"52","Seth Roberts (CAR)","3","4","39","13.0","16","0","0","0","0","0","0","1","3.9","3.9","0.0%"
"53","Tyler Lockett (SEA)","1","2","38","38.0","38","1","0","0","0","0","0","1","3.8","3.8","97.0%"
"54","Ted Ginn (CHI)","2","5","38","19.0","30","1","0","0","0","0","0","1","3.8","3.8","1.0%"
"55","Sterling Shepard (NYG)","5","9","15","3.0","6","0","0","1","22","0","0","1","3.7","3.7","55.0%"
"56","Albert Wilson (MIA)","6","7","33","5.5","16","0","0","1","4","0","0","1","3.7","3.7","1.0%"
"57","Deon Cain (PIT)","1","1","35","35.0","35","1","0","0","0","0","0","1","3.5","3.5","0.0%"
"58","Cooper Kupp (LAR)","6","10","35","5.8","9","0","0","0","0","0","0","1","3.5","3.5","97.0%"
"59","David Moore (SEA)","1","2","31","31.0","31","1","0","1","4","0","0","1","3.5","3.5","1.0%"
"60","D.K. Metcalf (SEA)","3","6","35","11.7","17","0","0","0","0","0","0","1","3.5","3.5","97.0%"
"61","Brandin Cooks (HOU)","2","4","32","16.0","22","1","0","1","1","0","0","1","3.3","3.3","87.0%"
"62","Hunter Renfrow (LV)","3","5","31","10.3","11","0","0","0","0","0","0","1","3.1","3.1","40.0%"
"63","Corey Davis (TEN)","2","3","29","14.5","24","1","0","0","0","0","0","1","2.9","2.9","8.0%"
