"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Dak Prescott (DAL)","23","33","69.7","303","9.2","4","0","3","3","35","0","1","1","29.6","29.6","99.0%"
"2","Gardner Minshew II (JAC)","27","39","69.2","295","7.6","3","1","3","5","7","0","0","1","25.5","25.5","33.0%"
"3","Jared Goff (LAR)","29","45","64.4","319","7.1","3","0","1","2","4","0","0","1","25.2","25.2","69.0%"
"4","Ryan Fitzpatrick (MIA)","28","41","68.3","320","7.8","1","0","2","5","15","1","0","1","24.3","24.3","11.0%"
"5","Baker Mayfield (CLE)","12","27","44.4","279","10.3","3","3","6","4","29","0","0","1","23.1","23.1","80.0%"
"6","Drew Brees (NO)","19","30","63.3","253","8.4","3","0","0","1","-1","0","0","1","22.0","22.0","98.0%"
"7","Russell Wilson (SEA)","25","40","62.5","233","5.8","2","0","1","8","29","0","0","1","20.2","20.2","100.0%"
"8","Aaron Rodgers (GB)","27","55","49.1","323","5.9","2","1","1","2","1","0","0","1","20.0","20.0","95.0%"
"9","Derek Carr (LV)","29","46","63.0","391","8.5","1","0","2","1","0","0","0","1","19.6","19.6","33.0%"
"10","Ryan Tannehill (TEN)","13","20","65.0","198","9.9","2","0","0","5","20","0","0","1","17.9","17.9","73.0%"
"11","AJ McCarron (HOU)","21","36","58.3","225","6.3","0","1","4","5","39","1","0","1","17.9","17.9","0.0%"
"12","Philip Rivers (IND)","31","46","67.4","281","6.1","2","2","3","1","5","0","0","1","17.7","17.7","48.0%"
"13","Andy Dalton (DAL)","16","28","57.1","190","6.8","1","1","1","8","10","1","0","1","17.6","17.6","2.0%"
"14","Carson Wentz (PHI)","23","40","57.5","289","7.2","1","0","1","3","15","0","0","1","17.1","17.1","95.0%"
"15","Jameis Winston (NO)","13","24","54.2","201","8.4","2","2","1","2","5","0","0","1","16.5","16.5","5.0%"
"16","Tom Brady (TB)","16","29","55.2","221","7.6","2","1","1","0","0","0","0","1","15.8","15.8","97.0%"
"17","Daniel Jones (NYG)","28","47","59.6","301","6.4","1","1","4","3","26","0","1","1","15.6","15.6","69.0%"
"18","Kyler Murray (ARI)","26","42","61.9","325","7.7","2","2","1","2","0","0","2","1","15.0","15.0","99.0%"
"19","Matt Ryan (ATL)","30","51","58.8","313","6.1","1","0","6","2","0","0","1","1","14.5","14.5","97.0%"
"20","David Blough (DET)","12","29","41.4","122","4.2","0","1","1","2","11","0","0","1","12.9","12.9","0.0%"
"21","Patrick Mahomes (KC)","16","25","64.0","174","7.0","1","1","0","7","21","0","0","1","12.1","12.1","100.0%"
"22","Drew Lock (DEN)","17","28","60.7","177","6.3","1","0","2","6","29","0","1","1","12.0","12.0","45.0%"
